SeriesId,Year,Period,Label,Value,Race,Gender
LEU0252934500,2017,A01,2017 Annual,627,White,Women
LEU0252934500,2018,A01,2018 Annual,641,White,Women
LEU0252934500,2019,A01,2019 Annual,653,White,Women
LEU0252934500,2020,A01,2020 Annual,685,White,Women
LEU0252934500,2021,A01,2021 Annual,710,White,Women
LEU0252934500,2022,A01,2022 Annual,748,White,Women
LEU0252934500,2023,A01,2023 Annual,783,White,Women
LEU0252935700,2000,A01,2000 Annual,762,White,Women
LEU0252935700,2001,A01,2001 Annual,800,White,Women
LEU0252935700,2002,A01,2002 Annual,819,White,Women
LEU0252935700,2003,A01,2003 Annual,839,White,Women
LEU0252935700,2004,A01,2004 Annual,866,White,Women
LEU0252935700,2005,A01,2005 Annual,891,White,Women
LEU0252935700,2006,A01,2006 Annual,911,White,Women
LEU0252935700,2007,A01,2007 Annual,942,White,Women
LEU0252935700,2008,A01,2008 Annual,961,White,Women
LEU0252935700,2009,A01,2009 Annual,976,White,Women
LEU0252935700,2010,A01,2010 Annual,996,White,Women
LEU0252935700,2011,A01,2011 Annual,1011,White,Women
LEU0252935700,2012,A01,2012 Annual,1012,White,Women
LEU0252935700,2013,A01,2013 Annual,1045,White,Women
LEU0252935700,2014,A01,2014 Annual,1059,White,Women
LEU0252935700,2015,A01,2015 Annual,1070,White,Women
LEU0252935700,2016,A01,2016 Annual,1115,White,Women
LEU0252935700,2017,A01,2017 Annual,1141,White,Women
LEU0252935700,2018,A01,2018 Annual,1152,White,Women
LEU0252935700,2019,A01,2019 Annual,1197,White,Women
LEU0252935700,2020,A01,2020 Annual,1239,White,Women
LEU0252935700,2021,A01,2021 Annual,1292,White,Women
LEU0252935700,2022,A01,2022 Annual,1377,White,Women
LEU0252935700,2023,A01,2023 Annual,1441,White,Women
LEU0252936300,2000,A01,2000 Annual,712,White,Women
LEU0252936300,2001,A01,2001 Annual,750,White,Women
LEU0252936300,2002,A01,2002 Annual,762,White,Women
LEU0252936300,2003,A01,2003 Annual,771,White,Women
LEU0252936300,2004,A01,2004 Annual,800,White,Women
LEU0252936300,2005,A01,2005 Annual,824,White,Women
LEU0252936300,2006,A01,2006 Annual,846,White,Women
LEU0252936300,2007,A01,2007 Annual,870,White,Women
LEU0252936300,2008,A01,2008 Annual,883,White,Women
