Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2022,Office and Administrative Support Occupations:,12196123,3378577,8817546,44038,50124,42303
2022,"Education, Legal, Community Service, Arts, and Media Occupations:",12252605,4462374,7790231,60541,70370,56064
2022,Healthcare Practitioners and Technical Occupations:,7555731,2062441,5493290,76047,95762,72119
2022,"Educational Instruction, and Library Occupations:",6389431,1823649,4565782,56913,66043,53519
2022,Business and Financial Operations Occupations:,8274826,3873340,4401486,79502,90069,71856
2022,Sales and Related Occupations:,9812069,5706063,4106006,53543,63240,42808
2022,"Computer, Engineering, and Science Occupations:",10169079,7585606,2583473,94945,99692,83152
2022,Healthcare Support Occupations:,3043706,509885,2533821,35335,39160,34691
2022,Registered nurses,2607050,359266,2247784,78932,84879,77582
2022,Production Occupations:,7019626,5178333,1841293,45073,49667,36546
2022,Elementary and middle school teachers,2267573,467639,1799934,58625,62514,57590
2022,Food Preparation and Serving Related Occupations:,3352373,1759798,1592575,30448,32097,27393
2022,"Managers, all other",3971697,2455515,1516182,93144,102003,80164
2022,Transportation and Material Moving Occupations:12,8331203,6823161,1508042,42070,44860,33560
2023,Professional and related occupations,32088,14645,17443,1458,1736,1278
2023,Office and administrative support occupations,12519,3777,8743,891,983,864
2023,Healthcare practitioners and technical occupations,7795,1963,5832,1404,1682,1341
2023,"Education, training, and library occupations",7524,2070,5455,1180,1376,1134
2023,Business and financial operations occupations,8227,3694,4533,1517,1674,1406
2023,Sales and related occupations,9148,5099,4049,1001,1196,830
2023,Healthcare support occupations,3467,578,2890,713,794,704
2023,Elementary and middle school teachers,3117,673,2444,1243,1370,1220
2023,Registered nurses,2817,404,2413,1442,1657,1409
2023,Food preparation and serving related occupations,4325,2289,2036,660,700,618
2023,Production occupations,7313,5277,2036,895,966,742
2023,Transportation and material moving occupations,8664,7013,1651,841,897,694
2023,"Managers, all other",3872,2263,1609,1738,1887,1536
2023,Computer and mathematical occupations,6129,4522,1607,1890,1976,1628
2023,Community and social service occupations,2334,735,1599,1147,1157,1144
2013,Sales and Office Occupations,23024430,9483428,13541002,36667,44622,32972
2013,"Natural Resources, Construction, and Maintenance Occupations:",9447149,9083555,363594,40492,40696,30351
2013,Sales and Related Occupations:,9763412,5776608,3986804,41300,50259,31747
2013,Production Occupations:,6900369,5123473,1776896,35478,39170,26544
2013,"Computer, Engineering, and Science Occupations:",6587606,5025859,1561747,75222,78480,65160
2013,Construction and Extraction Occupations:,4960836,4841705,119131,40003,40078,33236
2013,"Education, Legal, Community Service, Arts, and Media Occupations:",9946980,3873198,6073782,49461,56887,45482
2013,"Installation, Maintenance, and Repair Occupations:",3860624,3721190,139434,43450,43781,40347
2013,Office and Administrative Support Occupations:,13261018,3706820,9554198,35120,38713,33637
2013,Transportation Occupations:,3637658,3296719,340939,40594,41222,30304
2013,Business and Financial Operations Occupations:,5677671,2607609,3070062,60692,70670,52958
2013,Computer and mathematical occupations:,3326898,2491163,835735,76739,80509,69795
2013,Driver/sales workers and truck drivers,2472147,2365886,106261,40588,40865,27657
2013,Building and Grounds Cleaning and Maintenance Occupations:,3334604,2253763,1080841,25267,27873,20844
2013,"Managers, all other",3034121,2056582,977539,75912,81462,63917
2014,Sales and Office Occupations:,22980042,9560866,13419176,37060,45041,33527
2014,"Natural Resources, Construction, and Maintenance Occupations:",9807518,9424631,382887,40609,40818,30881
2014,Sales and Related Occupations:,9834140,5788675,4045465,41747,50567,32122
2014,Production Occupations:,7047746,5254651,1793095,35891,40113,26561
2014,"Computer, Engineering, and Science Occupations:",6853148,5216177,1636971,76036,79847,66500
2014,Construction and Extraction Occupations:,5306587,5174910,131677,40042,40133,32481
2014,"Education, Legal, Community Service, Arts, and Media Occupations:",10164825,3895376,6269449,50057,57516,45789
2014,Office and Administrative Support Occupations:,13145902,3772191,9373711,35365,38667,34069
2014,"Installation, Maintenance, and Repair Occupations:",3856472,3713565,142907,44262,44462,41195
2014,Transportation Occupations:,3777077,3408321,368756,40763,41394,31001
2014,Business and Financial Operations Occupations:,5809077,2672417,3136660,60934,70728,54018
2014,Computer and mathematical occupations:,3556981,2670024,886957,77975,81043,70786
2014,Driver/sales workers and truck drivers,2569929,2455007,114922,40913,41201,30173
2014,"Managers, all other",3571939,2379728,1192211,75766,81484,63700
2014,Building and Grounds Cleaning and Maintenance Occupations:,3385523,2270153,1115370,25507,28153,20931
2015,"Natural Resources, Construction, and Maintenance Occupations",10253555,9860449,393106,40928,41124,31210
2015,Sales and Office Occupations,23425185,9769510,13655675,37397,45469,34506
2015,Sales and Related Occupations,9992545,5884240,4108305,42101,50928,32588
2015,Transportation and Material Moving Occupations,6498781,5641758,857023,36283,37486,27072
2015,Construction and Extraction Occupations,5559833,5418960,140873,40235,40300,35673
2015,Production Occupations,7218719,5366548,1852171,36278,40435,27256
2015,"Computer, Engineering, and Science Occupations",7040467,5355898,1684569,77400,81089,68236
2015,"Education, Legal, Community Service, Arts, and Media Occupations",10353405,3948912,6404493,50417,57809,46386
2015,"Installation, Maintenance, and Repair Occupations",4029724,3897252,132472,45414,45515,41070
2015,Office and Administrative Support Occupations,13432640,3885270,9547370,35770,39077,34962
2015,Transportation Occupations,3927349,3535497,391852,41549,42204,31533
2015,Computer and Mathematical Occupations,3679444,2766278,913166,80339,82130,71378
2015,Business and Financial Operations Occupations,5914658,2699566,3215092,61547,71816,55043
2015,Driver/sales workers and truck drivers,2644153,2526258,117895,41834,42127,30962
2015,"Managers, all other",3681343,2443030,1238313,76680,82139,66153
2016,"Natural Resources, Construction, and Maintenance Occupations",10336235,9943126,393109,41407,41612,31194
2016,Sales and Office Occupations,23561354,9860678,13700676,38602,46408,35368
2016,Sales and Related Occupations,10085935,5907517,4178418,43647,51791,34226
2016,Transportation and Material Moving Occupations,6605581,5722980,882601,36644,38520,27349
2016,"Computer, Engineering, and Science Occupations",7336002,5591448,1744554,80279,82347,70044
2016,Construction and Extraction Occupations,5684325,5535847,148478,40852,40926,35859
2016,Production Occupations,7084690,5206127,1878563,36773,40898,28241
2016,"Education, Legal, Community Service, Arts, and Media Occupations",10566994,3984993,6582001,50890,59998,47103
2016,Office and Administrative Support Occupations,13475419,3953161,9522258,36290,40053,35548
2016,"Installation, Maintenance, and Repair Occupations",4007794,3873396,134398,45939,46092,40827
2016,Transportation Occupations,4017489,3621746,395743,41788,42389,31991
2016,Computer and Mathematical Occupations,3884352,2925768,958584,81760,85427,72472
2016,Business and Financial Operations Occupations,6123442,2814981,3308461,63511,74011,56897
2016,Driver/sales workers and truck drivers,2695081,2570385,124696,42200,42435,32237
2016,"Managers, all other",3758629,2472383,1286246,78843,84600,67769
2017,"Natural Resources, Construction, and Maintenance Occupations",10665395,10227297,438098,41963,42203,31725
