occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Legal occupations,"Title examiners, abstractors, and searchers",83,"1,143",25,–,58,"1,030"
Legal occupations,"Legal support workers, all other",70,"1,320",28,–,42,–
"Education, training, and library occupations",Postsecondary teachers,828,"1,723",462,"1,852",366,"1,565"
"Education, training, and library occupations",Preschool and kindergarten teachers,523,791,18,–,505,789
"Education, training, and library occupations",Elementary and middle school teachers,"3,117","1,243",673,"1,370","2,444","1,220"
"Education, training, and library occupations",Secondary school teachers,859,"1,271",367,"1,347",493,"1,213"
"Education, training, and library occupations",Special education teachers,308,"1,164",42,–,266,"1,156"
"Education, training, and library occupations",Tutors,28,–,8,–,20,–
"Education, training, and library occupations",Other teachers and instructors,584,"1,165",229,"1,242",355,"1,124"
"Education, training, and library occupations","Archivists, curators, and museum technicians",57,"1,289",22,–,35,–
"Education, training, and library occupations",Librarians and media collections specialists,117,"1,118",24,–,93,"1,174"
"Education, training, and library occupations",Library technicians,15,–,5,–,11,–
"Education, training, and library occupations",Teaching assistants,940,698,184,772,757,685
"Education, training, and library occupations",Other educational instruction and library workers,148,"1,310",37,–,111,"1,291"
"Arts, design, entertainment, sports, and media occupations",Artists and related workers,94,"1,543",57,"1,458",37,–
"Arts, design, entertainment, sports, and media occupations",Commercial and industrial designers,13,–,11,–,2,–
"Arts, design, entertainment, sports, and media occupations",Fashion designers,25,–,6,–,19,–
"Arts, design, entertainment, sports, and media occupations",Floral designers,25,–,6,–,19,–
"Arts, design, entertainment, sports, and media occupations",Graphic designers,248,"1,253",119,"1,294",130,"1,221"
"Arts, design, entertainment, sports, and media occupations",Interior designers,50,"1,256",10,–,40,–
"Arts, design, entertainment, sports, and media occupations",Merchandise displayers and window trimmers,18,–,7,–,11,–
"Arts, design, entertainment, sports, and media occupations",Other designers,272,"1,482",178,"1,495",94,"1,408"
"Arts, design, entertainment, sports, and media occupations",Actors,17,–,7,–,11,–
"Arts, design, entertainment, sports, and media occupations",Producers and directors,130,"1,467",58,"1,312",72,"1,609"
"Arts, design, entertainment, sports, and media occupations",Athletes and sports competitors,28,–,23,–,5,–
"Arts, design, entertainment, sports, and media occupations",Coaches and scouts,113,"1,168",85,"1,336",29,–
"Arts, design, entertainment, sports, and media occupations","Umpires, referees, and other sports officials",2,–,2,–,0,–
"Arts, design, entertainment, sports, and media occupations",Dancers and choreographers,5,–,2,–,3,–
"Arts, design, entertainment, sports, and media occupations",Music directors and composers,18,–,13,–,4,–
"Arts, design, entertainment, sports, and media occupations",Musicians and singers,36,–,30,–,6,–
"Arts, design, entertainment, sports, and media occupations","Disc jockeys, except radio",12,–,12,–,0,–
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers, all other",6,–,1,–,4,–
"Arts, design, entertainment, sports, and media occupations",Broadcast announcers and radio disc jockeys,20,–,12,–,8,–
"Arts, design, entertainment, sports, and media occupations","News analysts, reporters, and journalists",46,–,25,–,21,–
"Arts, design, entertainment, sports, and media occupations",Public relations specialists,126,"1,544",36,–,90,"1,541"
"Arts, design, entertainment, sports, and media occupations",Editors,82,"1,440",36,–,46,–
"Arts, design, entertainment, sports, and media occupations",Technical writers,46,–,17,–,29,–
"Arts, design, entertainment, sports, and media occupations",Writers and authors,101,"1,322",57,"1,551",44,–
"Arts, design, entertainment, sports, and media occupations",Interpreters and translators,55,964,18,–,36,–
"Arts, design, entertainment, sports, and media occupations",Court reporters and simultaneous captioners,12,–,2,–,10,–
"Arts, design, entertainment, sports, and media occupations","Media and communication workers, all other",22,–,18,–,4,–
"Arts, design, entertainment, sports, and media occupations","Broadcast, sound, and lighting technicians",80,"1,387",73,"1,397",6,–
"Arts, design, entertainment, sports, and media occupations",Photographers,62,"1,135",46,–,16,–
"Arts, design, entertainment, sports, and media occupations","Television, video, and film camera operators and editors",93,"1,259",67,"1,254",26,–
"Arts, design, entertainment, sports, and media occupations","Media and communication equipment workers, all other",2,–,2,–,0,–
Healthcare practitioners and technical occupations,Healthcare practitioners and technical occupations,"7,795","1,404","1,963","1,682","5,832","1,341"
Healthcare practitioners and technical occupations,Chiropractors,13,–,5,–,9,–
Healthcare practitioners and technical occupations,Dentists,64,"2,837",33,–,31,–
Healthcare practitioners and technical occupations,Dietitians and nutritionists,84,"1,137",16,–,69,"1,147"
Healthcare practitioners and technical occupations,Optometrists,16,–,6,–,11,–
Healthcare practitioners and technical occupations,Pharmacists,316,"2,208",134,"2,238",182,"2,180"
Healthcare practitioners and technical occupations,Emergency medicine physicians,21,–,9,–,11,–
Healthcare practitioners and technical occupations,Radiologists,18,–,13,–,5,–
Healthcare practitioners and technical occupations,Other physicians,715,"2,914",398,"2,920",317,"2,907"
Healthcare practitioners and technical occupations,Surgeons,52,"3,300",42,–,10,–
Healthcare practitioners and technical occupations,Physician assistants,137,"2,006",45,–,92,"1,852"
Healthcare practitioners and technical occupations,Podiatrists,3,–,0,–,3,–
Healthcare practitioners and technical occupations,Audiologists,14,–,1,–,13,–
Healthcare practitioners and technical occupations,Occupational therapists,116,"1,447",14,–,102,"1,431"
Healthcare practitioners and technical occupations,Physical therapists,234,"1,607",89,"1,715",145,"1,526"
Healthcare practitioners and technical occupations,Radiation therapists,15,–,2,–,13,–
Healthcare practitioners and technical occupations,Recreational therapists,7,–,1,–,6,–
Healthcare practitioners and technical occupations,Respiratory therapists,78,"1,371",36,–,42,–
Healthcare practitioners and technical occupations,Speech-language pathologists,140,"1,433",11,–,128,"1,435"
Healthcare practitioners and technical occupations,Exercise physiologists,6,–,3,–,4,–
Healthcare practitioners and technical occupations,"Therapists, all other",178,"1,257",31,–,147,"1,257"
Healthcare practitioners and technical occupations,Veterinarians,53,"2,020",17,–,36,–
Healthcare practitioners and technical occupations,Registered nurses,"2,817","1,442",404,"1,657","2,413","1,409"
Healthcare practitioners and technical occupations,Nurse anesthetists,14,–,6,–,8,–
Healthcare practitioners and technical occupations,Nurse midwives,3,–,0,–,3,–
Healthcare practitioners and technical occupations,Nurse practitioners,212,"2,079",20,–,191,"2,031"
Healthcare practitioners and technical occupations,Acupuncturists,3,–,2,–,1,–
Healthcare practitioners and technical occupations,"Healthcare diagnosing or treating practitioners, all other",4,–,2,–,3,–
Healthcare practitioners and technical occupations,Clinical laboratory technologists and technicians,251,"1,117",55,"1,172",197,"1,089"
