"Year","Men_Bucket","Women_Bucket","Total_Men","Total_Women","Top_Jobs_Men","Top_Jobs_Women"
2021,"$120000-130000","$1e+05-110000",464688,210149,"",""
2021,"$120000-130000","$110000-120000",1486502,551624,"",""
2021,"$130000-140000","$90000-1e+05",14393,12550,"",""
2021,"$130000-140000","$1e+05-110000",16639,14998,"",""
2021,"$130000-140000","$120000-130000",135661,159310,"",""
2021,"$140000-150000","$70000-80000",747799,828426,"",""
2021,"$140000-150000","$80000-90000",32481,32217,"",""
2021,"$140000-150000","$110000-120000",31284,13108,"",""
2021,"$150000-160000","$110000-120000",7269,2206,"",""
2021,"$150000-160000","$120000-130000",638733,394563,"",""
2021,"$150000-160000","$140000-150000",180544,24755,"",""
2021,"$160000-170000","$120000-130000",950742,365570,"",""
2021,"$180000-190000","$130000-140000",71471,30860,"",""
2021,"$190000-2e+05","$180000-190000",16990,18991,"",""
2021,NA,"$110000-120000",0,6045,"Nurse midwives",""
2021,NA,"$2e+05-210000",440136,272196,"Other physicians",""
2021,NA,NA,65225,15716,"Emergency medicine physicians; Radiologists; Surgeons","Emergency medicine physicians; Radiologists; Surgeons"
2022,"$10000-20000","$30000-40000",2967,16468,"",""
2022,"$20000-30000","$20000-30000",351960,431827,"",""
2022,"$20000-30000","$30000-40000",11959,70064,"",""
2022,"$20000-30000",NA,2183,0,"","Manufactured building and mobile home installers"
2022,"$30000-40000","$20000-30000",8323649,6560010,"",""
2022,"$30000-40000","$30000-40000",6953956,8270386,"",""
2022,"$30000-40000","$40000-50000",24120,2020,"",""
2022,"$30000-40000","$50000-60000",2051,5078,"",""
2022,"$40000-50000","$20000-30000",395942,23703,"",""
2022,"$40000-50000","$30000-40000",21596348,9032073,"",""
2022,"$40000-50000","$40000-50000",2945409,2838439,"",""
2022,"$40000-50000","$50000-60000",108664,3536,"",""
2022,"$40000-50000","$60000-70000",32683,536,"",""
2022,"$40000-50000",NA,34355,431,"","Plasterers and stucco masons; Solar photovoltaic installers"
2022,"$50000-60000","$20000-30000",40680,1808,"",""
2022,"$50000-60000","$30000-40000",18061310,1422773,"",""
2022,"$50000-60000","$40000-50000",18868845,14692866,"",""
2022,"$50000-60000","$50000-60000",2290081,3450640,"",""
2022,"$50000-60000","$60000-70000",79506,135319,"",""
2022,"$50000-60000","$70000-80000",21079,423,"",""
2022,"$50000-60000",NA,10112,164,"","Reinforcing iron and rebar workers; Roustabouts, oil and gas; Electrical and electronics installers and repairers, transportation equipment"
2022,"$60000-70000","$30000-40000",231897,3427,"",""
2022,"$60000-70000","$40000-50000",7207987,5064177,"",""
2022,"$60000-70000","$50000-60000",8218232,9355590,"",""
2022,"$60000-70000","$60000-70000",2701654,2348766,"",""
2022,"$60000-70000","$70000-80000",22323,22940,"",""
2022,"$60000-70000","$80000-90000",1942,77,"",""
2022,"$60000-70000",NA,6073,40,"","Rail-track laying and maintenance equipment operators"
2022,"$70000-80000","$10000-20000",2368,883,"",""
2022,"$70000-80000","$40000-50000",146786,10478,"",""
2022,"$70000-80000","$50000-60000",5459296,8746331,"",""
2022,"$70000-80000","$60000-70000",2520057,2058734,"",""
2022,"$70000-80000","$70000-80000",1125234,435192,"",""
2022,"$70000-80000","$80000-90000",17894,2041,"",""
2022,"$70000-80000",NA,23546,156,"","Derrick, rotary drill, and service unit operators, oil and gas; Wind turbine service technicians"
2022,"$80000-90000","$50000-60000",127204,181491,"",""
2022,"$80000-90000","$60000-70000",1474439,934989,"",""
2022,"$80000-90000","$70000-80000",4243250,4746118,"",""
2022,"$80000-90000","$80000-90000",112033,147662,"",""
2022,"$80000-90000","$90000-1e+05",38644,2714,"",""
2022,"$80000-90000",NA,10018,283,"","Media and communication equipment workers, all other; Boilermakers"
